"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","ddt0(epsilon)","ddt0(k)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","epsilon","k","nut","p","p_rgh","total(p)"
0.00051825,-0.13714,0.99055,-0.84468,-2,0.016184,0.01074,-0.83656,-0.1075,0.5,-0.00013645,0.00023051,0.1621,-0.11294,-0.090493,0.00035572,0.00036842,-2.2641e-05,0.11362,0.031864,0.0014323,-47.027,0,146.92
-7.3118e-07,-0.1623,0.98674,-0.81489,-1.9726,0.019985,0.011312,-0.71287,-0.097318,0.5,0.00027832,0.00031485,0.17481,-0.044238,-0.035961,0.00036403,0.00012393,4.8339e-05,0.066019,0.028514,0.0017102,42.837,108.95,167.56
-0.00048429,-0.17053,0.98535,-0.8149,-1.9414,0.025882,0.011605,-0.61356,-0.061344,0.5,0.0004183,0.00047702,0.17795,-0.023864,-0.0013323,0.00035158,5.0967e-05,8.5638e-05,0.023095,0.020786,0.0017648,33.977,138.44,125.13
0.00067142,-0.13817,0.99041,-0.8149,-2,0.016156,0.011249,-0.8358,-0.10776,0.5,6.7585e-06,0.00019056,0.16604,-0.047368,-0.063679,0.0003519,0.00025669,-8.1542e-06,0.11254,0.031619,0.0014283,-46.902,0,146.8
0.0001152,-0.16307,0.98661,-0.78511,-1.9727,0.019966,0.011781,-0.71222,-0.097574,0.5,7.6252e-05,0.00010401,0.17448,0.029755,-0.0051081,0.00034941,6.0394e-05,3.9042e-05,0.064855,0.028083,0.0016912,42.817,108.82,167.36
-0.00042678,-0.17099,0.98527,-0.78511,-1.9415,0.025878,0.01205,-0.61266,-0.061267,0.5,0.00014862,0.00016639,0.17349,0.044529,0.013324,0.00034775,5.8193e-05,5.4588e-05,0.022655,0.020434,0.0017395,33.957,138.36,124.91
0.00081123,-0.13928,0.99025,-0.78511,-2,0.016122,0.011731,-0.83511,-0.10801,0.5,-8.7208e-06,7.7297e-05,0.16645,0.053151,-0.018585,0.00033939,0.00013995,1.5343e-05,0.11039,0.03113,0.0014134,-46.757,0,146.74
0.0001847,-0.16389,0.98648,-0.75532,-1.9729,0.019943,0.012245,-0.7116,-0.097832,0.5,1.2431e-05,-2.8605e-05,0.16788,0.079667,0.017416,0.0003366,5.105e-05,3.7373e-05,0.063076,0.02743,0.001659,42.813,108.69,167.19
-0.00034798,-0.1715,0.98518,-0.75532,-1.9416,0.025875,0.012482,-0.61177,-0.061152,0.5,2.0378e-06,-2.6643e-05,0.17013,0.091856,0.025329,0.00034568,8.2333e-05,4.1285e-05,0.022011,0.0199,0.0016987,33.955,138.29,124.71
0.00092227,-0.14045,0.99009,-0.75532,-2,0.016084,0.012214,-0.8345,-0.10824,0.5,8.7077e-05,4.4477e-06,0.16011,0.11438,0.01321,0.00032396,8.7347e-05,3.52e-05,0.1071,0.030403,0.0013894,-46.596,0,146.74
